"Date","Month","Year","Season","Length of day","Sunrise","Sunset","Sunlight angle","UV Index","Solar intensity","Max air temp","Max surface temp","Precipitation","Clouds daytime","Soil moisture"
"1/31/26","January",2026,"Winter",10.51575611,6.85,17.36666667,38.04590712,NA,16.13539304,77.81,78.548,0,NA,0.65
"4/30/23","April",2023,"Spring",13.52566611,6.066666667,19.6,70.49714847,1.96,30.77133166,67.802,79.268,0.013385834,27.47,0.67
"8/31/25","August",2025,"Summer",12.91535611,6.416666667,19.33333333,63.82691308,1.91,26.60370308,93.884,109.13,0,4.27,0.34
"7/28/24","July",2024,"Summer",13.91746056,6.016666667,19.93333333,74.44893281,2.63,32.31259243,81.77,97.232,0,2.24,0.35
"4/2/23","April",2023,"Spring",12.59068444,6.65,19.23333333,60.32261218,1.71,27.18063071,62.852,71.762,0,11.19,0.83
"4/27/25","April",2025,"Spring",13.43289361,6.116666667,19.55,69.53100708,1.16,29.87110159,60.782,73.112,0.015354339,90.83,0.42
"11/26/25","November",2025,"Fall",10.13578972,6.6,16.73333333,34.35919319,0.56,14.48915188,79.772,80.924,0,8.8,0.54
"6/14/25","June",2025,"Spring",14.42186722,5.666666667,20.08333333,79.12959498,2.54,34.02014957,83.156,98.546,0,22.64,0.35
"1/5/26","January",2026,"Winter",9.966286944,6.983333333,16.95,33.13156687,NA,NA,58.28,64.346,0.030708678,NA,0.73
"12/7/25","December",2025,"Fall",9.959451389,6.75,16.71666667,32.93171908,0.52,12.81503982,74.282,78.566,0,6.58,0.52
"1/8/25","January",2025,"Winter",10.00718028,6.983333333,17,33.48163069,0.43,14.42133269,65.012,67.406,0.016929143,28.84,0.34
"2/5/26","February",2026,"Winter",10.6612375,6.783333333,17.45,39.4351587,NA,NA,74.066,75.29,0,NA,0.63
"9/3/25","September",2025,"Summer",12.81322944,6.45,19.26666667,62.67610789,1.94,26.19307182,95.36,108.932,0,6.3,0.34
"5/24/25","May",2025,"Spring",14.14688944,5.75,19.9,76.62265961,2.04,31.98278678,73.67,88.358,0,26.11,0.38
"9/18/25","September",2025,"Summer",12.29130639,6.633333333,18.91666667,56.7099736,0.97,22.03844966,80.15,90.644,0.222834766,94.56,0.35
"2/9/23","February",2023,"Winter",10.78381806,6.733333333,17.51666667,40.63431934,0.86,17.92470482,71.222,70.826,0,2.97,0.69
"6/10/24","June",2024,"Spring",14.40210222,5.666666667,20.06666667,78.95267251,2.37,32.21504428,77.864,91.652,0,8.82,0.46
"10/31/25","October",2025,"Fall",10.82010306,7.183333333,18.01666667,40.63431934,0.92,17.01239736,80.33,89.546,0,11.88,0.37
"1/1/25","January",2025,"Winter",9.922749167,6.983333333,16.9,32.75897473,0.45,13.16900025,72.086,80.114,0.000393701,27.03,0.34
"11/13/25","November",2025,"Fall",10.44100611,6.383333333,16.83333333,37.02868474,0.66,14.88398963,73.706,79.592,0.006299216,69.73,0.36
"6/28/24","June",2024,"Summer",14.41464528,5.716666667,20.13333333,79.07751263,2.83,34.43728404,80.546,95.252,0,1.46,0.4
"12/26/25","December",2025,"Winter",9.881098056,6.95,16.83333333,32.40524775,0.23,12.34216355,58.064,59.396,1.062598999,98.55,0.65
"2/17/24","February",2024,"Winter",11.04210861,6.6,17.63333333,43.24224488,0.85,18.5155679,62.816,71.132,0.018110246,82.47,0.7
"12/21/25","December",2025,"Fall",9.871869167,6.916666667,16.78333333,32.30087046,0.53,12.4582923,69.422,75.596,0.000393701,61.22,0.5
"10/20/25","October",2025,"Fall",11.17713222,7.033333333,18.2,44.28432634,1.09,19.03025052,83.444,92.714,0,1.23,0.39
"4/25/24","April",2024,"Spring",13.40143444,6.15,19.55,69.20069388,1.36,30.36348749,60.44,69.296,0.001574804,70.38,0.63
"7/21/23","July",2023,"Summer",14.10297444,5.933333333,20.03333333,76.23535065,2.63,32.42407603,90.554,103.658,0,8.3,0.38
"10/28/24","October",2024,"Fall",10.88305944,7.166666667,18.05,41.26122202,1,18.54250977,70.988,81.41,0.014960638,45.35,0.34
"2/23/26","February",2026,"Winter",11.24457889,6.483333333,17.73333333,45.35711281,NA,NA,76.298,80.33,0,NA,0.69
"1/3/25","January",2025,"Winter",9.942914167,6.983333333,16.93333333,32.93171908,0.45,13.24982586,64.634,70.574,0.000393701,67.21,0.34
"9/16/23","September",2023,"Summer",12.36162222,6.6,18.96666667,57.51773555,1.46,24.35823757,80.186,92.75,0.001181103,34.38,0.38
"9/26/25","September",2025,"Fall",12.00926444,6.716666667,18.73333333,53.47772674,1.26,21.94740472,82.166,97.79,0.007480319,45.31,0.34
"7/19/25","July",2025,"Summer",14.14414194,5.9,20.05,76.62265961,2.5,31.09370507,84.506,102.074,0.001181103,4.54,0.34
"4/3/23","April",2023,"Spring",12.62592,6.616666667,19.25,60.71889418,1.59,29.22821283,56.174,61.502,0.005905515,51.39,0.82
"4/9/24","April",2024,"Spring",12.87002139,6.466666667,19.33333333,63.44553899,1.56,29.38243181,75.326,78.818,0,0.97,0.7
"11/21/23","November",2023,"Fall",10.24236528,6.516666667,16.76666667,35.26553307,0.73,15.514801,77.972,81.68,0,22.91,0.36
"1/18/25","January",2025,"Winter",10.18998583,6.966666667,17.15,35.07187141,0.6,14.99918935,64.544,74.444,0,4.48,0.34
"11/26/25","November",2025,"Fall",10.13578972,6.6,16.73333333,34.35919319,0.56,14.48915188,79.772,80.924,0,8.8,0.54
"5/19/23","May",2023,"Spring",14.03945778,5.8,19.83333333,75.60912613,2.08,30.64591261,72.158,84.11,0.000787402,25.17,0.59
"2/10/26","February",2026,"Winter",10.81521556,6.716666667,17.53333333,40.94556984,NA,NA,60.53,63.338,0.44094512,NA,0.61
"2/18/26","February",2026,"Winter",11.07540722,6.583333333,17.65,43.58602041,NA,NA,54.752,61.142,0.365748229,NA,0.69
"12/7/23","December",2023,"Fall",9.959451389,6.75,16.71666667,32.93171908,0.46,13.43470283,67.964,74.138,0,20.1,0.35
"9/20/25","September",2025,"Summer",12.22087611,6.65,18.86666667,55.90113315,1.8,24.3870375,85.046,97.79,0,5.69,0.34
"3/13/25","March",2025,"Winter",11.87736833,7.1,18.98333333,52.27369814,0.95,24.44928251,52.7,58.28,0.777953176,67.17,0.5
"12/21/24","December",2024,"Fall",9.871986944,6.916666667,16.78333333,32.30783376,0.5,12.71563361,68.594,76.028,0.000393701,57.22,0.34
"3/9/25","March",2025,"Winter",10.73475972,7.183333333,17.91666667,50.68350409,1.29,23.49423967,69.566,77.144,0,2.5,0.46
"10/21/23","October",2023,"Fall",11.14371806,7.05,18.18333333,43.93341521,1.24,19.04232791,83.39,93.38,0,1.94,0.34
"9/16/24","September",2024,"Summer",12.32648083,6.616666667,18.95,57.11404927,1.62,26.24695556,70.826,84.542,0.000393701,41.99,0.34
"1/26/25","January",2025,"Winter",10.38049639,6.9,17.28333333,36.78810063,0.27,14.77808021,53.546,59.846,0.462992376,97.04,0.35
"3/26/25","March",2025,"Spring",12.34226944,6.8,19.15,57.51773555,1.19,25.66724084,65.732,78.404,0.010236226,51.74,0.47
"10/8/25","October",2025,"Fall",11.58799722,6.866666667,18.45,48.73073452,1.29,21.7207214,76.388,90.248,0.002755907,5.36,0.34
"3/9/24","March",2024,"Winter",11.77035083,6.166666667,17.93333333,51.07907195,1.16,23.28520792,66.704,73.688,0,55.51,0.75
"7/10/25","July",2025,"Summer",14.29965028,5.816666667,20.11666667,78.0542122,2.8,33.85571126,91.256,106.664,0,2.8,0.34
"10/19/24","October",2024,"Fall",11.17713222,7.033333333,18.2,44.28432634,1.12,19.68242958,80.618,90.662,0,4.5,0.34
"1/17/23","January",2023,"Winter",10.16873583,6.966666667,17.13333333,34.88435195,0.42,14.59227421,55.13,60.494,0.009448824,32.83,0.74
"3/15/26","March",2026,"Winter",11.94886306,7.05,19,53.07553691,NA,NA,81.158,83.75,0,NA,0.52
"5/2/24","May",2024,"Spring",13.61581361,6.016666667,19.63333333,71.42410185,1.82,31.04167939,72.05,82.886,0.003149608,5.41,0.6
"7/31/25","July",2025,"Summer",13.86638528,6.05,19.91666667,73.94567974,2.5,31.70221972,85.28,102.074,0,2.85,0.34
"6/9/24","June",2024,"Spring",14.39397889,5.666666667,20.06666667,78.87995174,2.05,32.4138567,72.356,86.072,0.000393701,31.46,0.46
"7/14/24","July",2024,"Summer",14.21951028,5.866666667,20.08333333,77.32281077,2.45,31.16524038,82.886,98.33,0.002362206,19.53,0.36
"1/5/25","January",2025,"Winter",9.966286944,6.983333333,16.95,33.13156687,0.47,13.07981337,74.066,80.204,0,25.15,0.34
"2/23/23","February",2023,"Winter",11.24457889,6.483333333,17.73333333,45.35711281,0.61,20.30116356,44.996,48.902,0.267322979,77.77,0.66
"10/5/23","October",2023,"Fall",11.69273389,6.833333333,18.51666667,49.8970335,1.46,22.31994575,92.048,99.932,0,1.68,0.36
"3/25/26","March",2026,"Spring",12.30659194,6.833333333,19.13333333,57.11404927,NA,25.85676296,78.134,82.148,0,NA,0.48
"6/5/25","June",2025,"Spring",14.34213778,5.683333333,20.01666667,78.41426332,2.25,32.21783137,75.2,89.744,0.000393701,22.27,0.36
"5/18/23","May",2023,"Spring",14.01635333,5.816666667,19.83333333,75.38856064,2.29,31.68456815,73.76,85.748,0,13.25,0.6
"11/10/25","November",2025,"Fall",10.52308417,6.35,16.86666667,37.78351775,0.87,16.12981886,87.944,92.354,0,12.87,0.36
"11/17/25","November",2025,"Fall",10.33772722,6.45,16.8,36.10042693,0.29,14.4278359,62.222,68.72,0.666535793,98.49,0.5
"10/9/23","October",2023,"Fall",11.55321778,6.883333333,18.43333333,48.34600472,1.21,20.88087828,82.85,94.532,0,34.24,0.35
"9/4/25","September",2025,"Summer",12.77896861,6.466666667,19.25,62.28827887,1.94,26.4309035,89.906,105.116,0,2.93,0.34
"5/15/23","May",2023,"Spring",13.94403583,5.85,19.78333333,74.6923071,1.99,31.11785985,71.546,82.598,0,50.75,0.61
"11/22/24","November",2024,"Fall",10.19795917,6.55,16.75,34.88435195,0.65,14.78644148,73.508,80.96,0.000393701,2.3,0.34
"4/4/26","April",2026,"Spring",12.66107611,6.6,19.26666667,61.11371861,NA,NA,82.022,84.686,0,NA,0.45
"6/26/24","June",2024,"Summer",14.42582833,5.716666667,20.13333333,79.17476427,2.66,32.27357317,82.364,96.908,0,1.15,0.41
"1/2/23","January",2023,"Winter",9.932426111,6.983333333,16.91666667,32.84194542,0.31,13.32136117,54.068,57.38,0.03149608,99.03,0.51
"7/1/23","July",2023,"Summer",14.40038722,5.733333333,20.13333333,78.95267251,2.46,31.49690409,87.8,101.444,0,1.93,0.45
"8/11/25","August",2025,"Summer",13.55810778,6.183333333,19.73333333,70.81061142,2.27,29.24121925,92.264,108.05,0,1.28,0.34
"2/15/26","February",2026,"Winter",10.97612333,6.633333333,17.6,42.56595798,NA,NA,58.874,65.156,0.030708678,NA,0.63
"11/16/25","November",2025,"Fall",10.36284278,6.433333333,16.8,36.32390295,0.37,14.18535907,60.008,66.596,0.303543471,97.2,0.49
"11/1/25","November",2025,"Fall",10.78901472,7.2,18,40.32756276,0.91,17.24744195,80.15,90.32,0,6.9,0.37
"8/11/25","August",2025,"Summer",13.55810778,6.183333333,19.73333333,70.81061142,2.27,29.24121925,92.264,108.05,0,1.28,0.34
"12/13/24","December",2024,"Fall",9.895147222,6.833333333,16.73333333,32.44695536,0.41,12.48337611,62.906,72.338,0.000393701,45.14,0.34
"2/28/23","February",2023,"Winter",11.4174175,6.383333333,17.8,47.2055207,0.9,21.01744569,53.24,60.314,0.328740335,59.88,0.78
"8/24/25","August",2025,"Summer",13.14899806,6.333333333,19.48333333,66.42369679,2.13,27.32370133,92.642,107.834,0.002755907,18.12,0.34
"6/1/23","June",2023,"Spring",14.28768444,5.7,19.98333333,77.92095696,1.55,32.19832174,67.694,79.07,0.002755907,58.01,0.54
"1/19/26","January",2026,"Winter",10.21184139,6.95,17.16666667,35.26553307,NA,14.35072641,73.076,75.146,0,NA,0.68
"8/17/25","August",2025,"Summer",13.37411694,6.25,19.63333333,68.86640976,2.3,29.19662581,83.858,100.058,0,5.78,0.34
