Timestamp,What is your height in INCHES,"What is your ""wingspan"" in INCHES",Which is your dominant hand for writing? 
1/8/2026 9:33:20,63,62,Right-handed
1/8/2026 11:27:45,60,59,Right-handed
1/8/2026 11:50:12,70,68.6,Right-handed
1/8/2026 11:52:36,60.25,59.5,Left-handed
1/8/2026 12:03:39,72,75,Right-handed
1/8/2026 12:12:14,68,69,Right-handed
1/8/2026 12:48:35,62,61,Right-handed
1/8/2026 13:09:15,71 inches,73 inches,Right-handed
1/8/2026 13:09:42,71,73,Right-handed
1/8/2026 13:16:59,68,67,Right-handed
1/8/2026 14:33:57,63,59,Right-handed
1/8/2026 14:47:09,72,75,Right-handed
1/8/2026 16:14:30,65,65,Right-handed
1/8/2026 16:44:06,72,71,Right-handed
1/8/2026 16:45:26,68,70,Right-handed
1/8/2026 17:29:03,65,64,Right-handed
1/8/2026 18:13:35,60,59,Right-handed
1/8/2026 18:47:13,70,60,Right-handed
1/8/2026 19:23:37,64,68.5,Right-handed
1/8/2026 19:59:06,68.5 inches,68.3 inches,Right-handed
1/8/2026 20:14:50,71,70,Right-handed
1/8/2026 20:54:02,67,72,Left-handed
1/8/2026 21:45:03,63,62.5,Left-handed
1/8/2026 21:58:11,70,72,Right-handed
1/8/2026 22:19:09,73,74.5,Right-handed
1/8/2026 22:26:13,61.5,62,Right-handed
1/8/2026 22:45:20,66.9291,64.5669,Right-handed
1/8/2026 23:28:10,68,65,Right-handed
1/8/2026 23:38:13,65,65,Right-handed
1/9/2026 0:25:49,68,70,Right-handed
1/9/2026 0:27:31,70,74,Right-handed
1/9/2026 1:39:59,67,66,Right-handed
1/9/2026 1:53:34,67.322,61,Right-handed
1/9/2026 1:54:04,65,63,Right-handed
1/9/2026 3:03:00,68,78,Right-handed
1/9/2026 3:30:59,64,70,Right-handed
1/9/2026 6:08:02,65.4,65,Right-handed
1/9/2026 10:00:53,72,74,Right-handed
1/9/2026 10:18:54,68,68,Right-handed
1/9/2026 10:25:09,70,68,Right-handed
1/9/2026 10:25:20,73,73,Right-handed
1/9/2026 10:50:46,64.5,64,Right-handed
1/9/2026 12:11:47,74,74,Right-handed
1/9/2026 12:21:09,69,64,Right-handed
1/9/2026 13:10:17,64,65,Right-handed
1/9/2026 13:17:21,67,68,Right-handed
1/9/2026 13:30:21,71,70,Right-handed
1/9/2026 13:52:14,67,65,Right-handed
1/9/2026 13:59:03,72.83,75.98,Right-handed
1/9/2026 14:22:07,64,64,Right-handed
1/9/2026 14:23:23,64,62,Right-handed
1/9/2026 14:23:43,67.5,67,Right-handed
1/9/2026 14:40:24,65.7,63,Right-handed
1/9/2026 14:49:56,68,69,Right-handed
1/9/2026 14:50:11,68,69,Right-handed
1/9/2026 15:01:02,68,69,Left-handed
1/9/2026 15:11:26,62,63,Right-handed
1/9/2026 15:25:19,67,68,Right-handed
1/9/2026 15:28:42,5'8,5'8,Right-handed
1/9/2026 15:44:24,74,74,Right-handed
1/9/2026 16:11:12,62,61,Right-handed
1/9/2026 16:13:44,61.81,61.8,Right-handed
1/9/2026 16:16:09,64,62,Right-handed
1/9/2026 16:22:27,67,68,Right-handed
1/9/2026 16:28:58,63,61,Right-handed
1/9/2026 16:30:26,64,63,Right-handed
1/9/2026 16:35:22,67,56,Right-handed
1/9/2026 16:40:12,66,64,Right-handed
1/9/2026 16:41:29,72,73,Left-handed
1/9/2026 16:41:33,66,67,Right-handed
1/9/2026 17:30:19,67,68,Right-handed
1/9/2026 23:13:24,70,65,Right-handed
1/11/2026 9:54:32,68,67,Right-handed
1/11/2026 21:22:39,6'2,74 in,Right-handed
1/12/2026 16:42:39,65,66,Right-handed
1/12/2026 17:18:23,64,64,Right-handed
1/13/2026 1:35:38,62,59,Right-handed
1/29/2026 19:20:16,73,74,Right-handed
2/24/2026 14:24:45,64,60,Right-handed
3/28/2026 10:32:00,71,72,Left-handed
3/28/2026 11:49:00,71,72,Right-handed
3/29/2026 20:06:42,61,61,Right-handed
3/29/2026 21:28:18,70,70,Left-handed
3/30/2026 20:31:54,60,57,Right-handed
3/31/2026 13:51:01,71,72,Right-handed
3/31/2026 15:53:20,71.5 inches,70 inches,Right-handed
3/31/2026 17:28:13,71.85,72.5,Right-handed
3/31/2026 17:29:36,71.85,72.5,Right-handed
3/31/2026 17:37:21,64,64,Right-handed
3/31/2026 18:48:17,72,72,Right-handed
3/31/2026 19:37:37,67,63,Right-handed
3/31/2026 19:39:29,63,62,Right-handed
3/31/2026 20:40:30,67,68,Right-handed
3/31/2026 20:50:08,68,70,Right-handed
3/31/2026 21:08:51,66,67,Right-handed
3/31/2026 21:55:26,66.93,64.96,Right-handed
3/31/2026 22:44:03,64,64,Right-handed
3/31/2026 22:56:08,67,68,Right-handed
3/31/2026 23:14:14,74,76,Right-handed
4/1/2026 7:51:41,62.5,62.5,Right-handed
4/1/2026 10:08:43,72,74,Right-handed
4/1/2026 10:56:31,63,62,Left-handed
4/1/2026 11:10:00,63,64,Ambidextrous
4/1/2026 13:17:40,61,61.3,Right-handed
4/1/2026 14:11:24,68.1,67.5,Right-handed
4/1/2026 16:24:33,64,62,Right-handed
4/1/2026 21:23:12,69,71,Right-handed
4/1/2026 23:46:49,62,62,Right-handed
4/2/2026 0:03:59,63.8,64,Right-handed
4/2/2026 0:28:55,67,67,Right-handed
4/2/2026 9:48:46,77,82,Right-handed
4/2/2026 11:38:22,66,65,Right-handed
4/2/2026 11:39:39,63.5,63,Right-handed
4/2/2026 11:40:50,60,70,Right-handed
4/2/2026 12:06:42,72.44,72,Right-handed
4/2/2026 12:10:09,66.93,64.96,Right-handed
4/2/2026 12:32:00,65.5,62,Right-handed
4/2/2026 12:34:47,66,60,Right-handed
4/2/2026 12:49:55,74,79,Right-handed
4/2/2026 12:59:59,58,57,Right-handed
4/2/2026 14:13:06,72,74.5,Right-handed
4/2/2026 14:14:54,74,76,Right-handed
4/2/2026 14:24:44,65.4,67,Right-handed
4/2/2026 15:14:05,70,71,Right-handed
4/2/2026 15:54:55,72,73,Right-handed
4/2/2026 16:01:26,66,64,Right-handed
4/2/2026 17:04:09,74,76,Left-handed
4/2/2026 18:56:13,67.5,66.5,Right-handed
4/2/2026 20:23:38,70,72,Right-handed
4/2/2026 21:02:42,64,62,Right-handed
4/2/2026 21:12:39,68.11,67.72,Right-handed
4/2/2026 21:51:33,5.34,5.3,Right-handed
4/2/2026 23:32:47,70.47,74.21,Right-handed
4/3/2026 0:00:30,69 inches,70 inches,Right-handed
4/3/2026 0:32:37,65,66,Right-handed
4/3/2026 2:14:46,69.566929,68.8976,Right-handed
4/3/2026 2:15:27,69.566929,68.8976,Right-handed
4/3/2026 10:03:49,65,47,Left-handed
4/3/2026 11:19:44,65.7,66,Right-handed
4/3/2026 11:35:37,64,65,Right-handed
4/3/2026 11:48:03,65,65.35,Right-handed
4/3/2026 12:04:20,64,65,Left-handed
4/3/2026 13:22:37,66.9291,64,Right-handed
4/3/2026 13:45:07,61,58,Right-handed
4/3/2026 13:53:17,64.5 inches ,64 inches ,Right-handed
4/3/2026 13:56:35,61.75 in,59.98,Right-handed
4/3/2026 14:02:01,63.78,63.75,Right-handed
4/3/2026 14:47:50,68.5,68.5,Right-handed
4/3/2026 14:52:18,74,73,Right-handed
4/3/2026 15:30:12,68,63,Right-handed
4/3/2026 15:33:18,63,62.2,Right-handed
4/3/2026 15:34:35,64,66,Right-handed
4/3/2026 15:50:10,73,74,Right-handed
4/3/2026 15:50:24,65,67,Right-handed
4/3/2026 16:06:04,67,66,Right-handed
4/3/2026 16:42:12,73,74,Right-handed
4/3/2026 16:58:03,69,70,Right-handed
